name,price,shop,sku,shop_type,detail_url,image_url,comment_num,tag
Aoran 帐篷户外野外露营多人全自动速开免搭建防雨防晒3-4人牛津布帐篷 银胶款【中号】防晒,145.0,Aoran户外装备旗舰店,10060563467842,非自营,https://item.jd.com/10060563467842.html,//img12.360buyimg.com/n7/jfs/t1/123883/4/38720/204023/64901184F10934297/992f3bebce449b72.jpg,5000,户外
骆驼户外带枕双人自动充气垫春游野营双人防潮垫睡垫A8W05002蔚蓝拼灰,259.0,骆驼牌户外京东自营旗舰店,100002103227,自营,https://item.jd.com/100002103227.html,//img12.360buyimg.com/n7/jfs/t1/132463/3/36935/62658/649e9392F3482acf1/bc7428c4693d3724.jpg,10000,户外
原始人 野外炉头户外炉具便携式卡式炉折叠燃气炉迷你烧水气炉露营用品 电子打火防风炉（配收纳盒）,66.0,原始人旗舰店,10043288908948,非自营,https://item.jd.com/10043288908948.html,//img13.360buyimg.com/n7/jfs/t1/144127/40/37104/143679/64b4a288F3936b9e8/442c3cb82448dcae.jpg,5000,户外
骆驼（CAMEL）帐篷户外便携式折叠野营露营公园野餐全自动帐篷【山系熊猫】1V32265017 松柏绿,482.3,骆驼（CAMEL）户外装备京东自营旗舰店,100026601755,自营,https://item.jd.com/100026601755.html,//img10.360buyimg.com/n7/jfs/t1/119677/1/28797/267399/63f70b9fF69612581/68265f00b2476fbd.jpg,10000,户外
TANXIANZHE探险者户外折叠桌碳钢蛋卷桌露营桌子野餐桌椅便携式露营野炊装备,159.0,探险者京东自营旗舰店,100055528527,自营,https://item.jd.com/100055528527.html,//img12.360buyimg.com/n7/jfs/t1/203142/1/36817/281431/64acd3ebF712d259d/59f26e2407b31fd8.jpg,5000,户外
迪卡侬航海运动男士防水工装裤可调节裤口-TRIBORD-inshore-100-蓝黑色-2525583-XL-/-W37-L32,124.9,迪卡侬京东自营旗舰店,100026091118,自营,https://item.jd.com/100026091118.html,//img13.360buyimg.com/n7/jfs/t1/156985/18/37100/46200/64b35231F95b39e85/87ed0e635976a2a3.jpg,5000,户外
拜杰户外淋浴袋可折叠太阳能热水袋野营便携洗澡水袋野外旅行储水袋 20L户外淋浴袋,20.8,拜杰户外旗舰店,10046812260456,非自营,https://item.jd.com/10046812260456.html,//img11.360buyimg.com/n7/jfs/t1/183009/23/25079/160568/62c7d5e3E0e3a2066/d862a3b5b6487ad2.jpg,1000,户外
迪卡侬冲锋裤男户外春秋款防风防水轻薄长裤雨裤宽松男裤裤子 MH500 新男-黑色 M/L,349.9,迪卡侬官方旗舰店,10026486630637,非自营,https://item.jd.com/10026486630637.html,//img12.360buyimg.com/n7/jfs/t1/186911/20/35177/59517/64b2311dFb55f3c5e/d8ed677fb06127ae.jpg,2000,户外
JAJALIN户外防潮垫便携小坐垫可折叠野餐垫登山垫野外防水泡沫地垫蓝色,11.6,博沃尼克京东自营旗舰店,100004848224,自营,https://item.jd.com/100004848224.html,//img14.360buyimg.com/n7/jfs/t1/169784/10/29168/397419/6304a1d6E4c607f5a/cc2736d1ba28fd99.jpg,50000,户外
科蒂尼塔（COTYNTA）品牌冲锋衣女中长款春秋新款户外旅游运动薄款连帽宽松登山服外套 翠蓝 L,1798.0,科蒂尼塔COTYNTA运动旗舰店,10068431396060,非自营,https://item.jd.com/10068431396060.html,//img10.360buyimg.com/n7/jfs/t1/126128/13/29560/90229/63e22446Faf027d2c/4d31f148694bec65.jpg,9,户外
加加林 JAJALIN 防水防潮帐篷垫子 户外加厚野餐垫 双面铝膜爬行垫子 200CMX200CM,22.3,博沃尼克京东自营旗舰店,100019177486,自营,https://item.jd.com/100019177486.html,//img11.360buyimg.com/n7/jfs/t1/63904/13/21632/170569/6304acb2E962746a0/0382c89fadc5071c.jpg,20000,户外
NITECORE（奈特科尔）EMR06户外便携式户外露营驱蚊器家用小型驱蚊神器 EMR06【含驱蚊片*3片】内置电池,168.0,奈特科尔（NITECORE）官方旗舰店,10072284107234,非自营,https://item.jd.com/10072284107234.html,//img14.360buyimg.com/n7/jfs/t1/125334/18/35967/89762/64b3f3a6F74124ee6/bc73ce22d953b567.jpg,500,户外
鹿险家户外水杯便携式露营杯304不锈钢折叠杯套杯耐高温茶杯野营杯套装 304-4杯套 杯杯相套,24.9,鹿险家官方旗舰店,10079299937618,非自营,https://item.jd.com/10079299937618.html,//img13.360buyimg.com/n7/jfs/t1/144167/39/39921/102247/64a2fe5cF3a8117e2/1aac224a2ef3a30a.jpg,200,户外
火枫（FIRE-MAPLE） 防爆高山高寒液化气罐户外露营气罐分体丁烷气罐炉头燃料 G2*2,38.0,火枫麦谷专卖店,10045657242702,非自营,https://item.jd.com/10045657242702.html,//img12.360buyimg.com/n7/jfs/t1/160621/38/38034/114469/64b39982F8426ce2c/e5a2d71208326e47.jpg,10000,户外
